Indicator type,Indicator,Description
URL,http://azotatdeamoniu.ro/googledocss/s/indexpage.htm,
URL,http://bigjoesbiker-ringe.com/tact/googledocss/sss/,
URL,http://cateringkatalogu.com/bahar/googledocss/sss/,
URL,http://lacajaverde.com/wp-includes/googledocs/login.php?lu003d_JeHFUq_=,
URL,http://lacajaverde.com/wp-includes/googledocs/login.php?l=,
URL,http://www.bluga.com.ar/fran/googledocs/login.php?l,
URL,http://lacajaverde.com/wp-includes/googledocs/index.php?l=_JeHFUq_VJOX,
URL,http://accofestival.co.il/am/googledocs/index.php/files/files/otherx.jpg/files/otherx.jpg/files/style.htm/files/files/style.htm/files/files/files/files/files/files/files/files/files/files/files/style.htm,
URL,http://windowsdiscussions.com/packages/vbattach/googledocss/sss/index.htm,
URL,http://www.lacajaverde.com/wp-includes/googledocs/login.php?l=_JeHFUq_,
URL,http://www.lacajaverde.com/wp-includes/googledocs/login.php,
URL,http://www.lacajaverde.com/wp-includes/googledocs/index.php,
URL,http://accofestival.co.il/am/googledocs/index.php/files/files/otherx.jpg/files/otherx.jpg/files/style.htm/files/files/style.htm/,
URL,http://mail.anashathakkar.com/~medscape/images/images/googledocss/,
URL,http://sistech.edu.pk/ca/googledocs%2004.21.12/,
URL,http://accofestival.co.il/libs/googledocs/index.php,
URL,http://kayo.pl/bosmet/googledocs/login.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID,
URL,http://kayo.pl/bosmet/googledocs/login.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid_JeHJOXK0IDw_JOXK0IDD&amp;userid=,
URL,http://kayo.pl/bosmet/googledocs/,
URL,http://kayo.pl/bosmet/googledocs/login.php,
URL,http://accofestival.co.il/libs/googledocs/forward.html,
URL,http://173.254.86.44/~medscape/images/images/googledocss/sss/index.htm,
URL,http://lacajaverde.com/wp-includes/googledocs/login.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid_JeHJOXK0IDw_JOXK0IDD&amp;userid=,
URL,http://lacajaverde.com/wp-includes/googledocs/,
URL,http://mail.manikhardware.com/~medscape/images/images/googledocss/sss/,
URL,http://xn--lbrderna-m4ad.se/libraries/googledocs/dexviewrtfg.html,
URL,http://lacajaverde.com/wp-includes/googledocs/LoginVerification.php,
URL,http://mail.atulspraynozzles.com/~medscape/images/images/googledocss/sss/,
URL,http://mail.finetrickmedia.com/~medscape/images/images/googledocss/sss/,
URL,http://mail.facelifereality.com/~medscape/images/images/googledocss/sss/,
URL,http://mail.mahalingamgroup.com/~medscape/images/images/googledocss/sss/,
URL,http://mail.bo-square.com/~medscape/images/images/googledocss/sss/,
URL,http://mail.anashathakkar.com/~medscape/images/images/googledocss/sss/,
URL,http://173-254-86-44.unifiedlayer.com/~medscape/images/images/googledocss/sss/,
URL,http://173.254.86.44/~medscape/images/images/googledocss/sss/,
URL,http://www.bluga.com.ar/fran/googledocs/login.php,
