Indicator type,Indicator,Description
URL,http://ofertademanda.com/learner/mine/docss/contactform.php,
URL,http://3designcenter.com/blog/wp-includes/js/jcrop/other/,
URL,http://hosttoday.org/go/hotmail/hotmail/,
URL,http://hosttoday.org/adminftp/hotmail/hotmail/,
URL,http://m2jbdistribuidora.com.br/aol/indexx.htm,
URL,http://derinceozelders.com/house/dropbox/,
URL,http://tu.mulhollandluxury.com/rio/,
URL,http://health-news.com/wp-content/plugins/canonical/lovema/wealthmanager/tt/best/,
URL,http://delhaizegruop.com/vice/,
URL,http://wjttowell.com/vibes/,
URL,http://dvsdfssffsssd.markeysgallery.com/nvtex/nvtex/,
URL,http://rentalvanswithlifts.com/pdfdocs/GD/,
URL,http://62.240.98.107/en1/,
URL,http://fjglobalinc.org/webxd/,
URL,http://agungberbagi.id/wp-includes/random_compat/GD/,
URL,http://d990049.u-telcom.net/dropbox/Newdropbox/,
URL,http://usd.edu.exclusiveturkishretreats.com/gmail/gmail.html,
URL,http://chmsry.org.za/Myphoto/,
URL,http://www.arnistofipop.it/dddd/lonisx/,
URL,http://www.diplomaticgroup.org/wp-content/themes/.shrf.php,
URL,http://dsmyaccessreg.com/Alibabamemo.htm,
URL,http://lonmar.org/yacht/2017%20DB/,
URL,http://lonmar.org/yachtt/2017%20DB/,
URL,http://paypalsupportg.webcindario.com/PAYPAL.html,
URL,http://www.bpfedu.ps/connect.secure/6a99f8e7d3314e7d28c6de1ce6b9ed48/payment.php?dispatch=I3K2KZ3A62HkM162qYnriBU8q9kLumfcp0faZiK6ksq7uxaVvx,
URL,http://www.newsvanguard.in/c/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/verify.html,
URL,http://daefezo.gear.host/fez.php,
URL,http://willa-marina.pl/nowa/new/,
URL,http://tusgustos.utntics.net/apps/,
URL,http://indoht.com/DEXTRER/Doc/Sign/,
URL,http://replicasderelogiosbr.com.br/media/email/logo/cadeaufree/73397fb36773fd86839f12197d5e6641/abonne/4adb9752747db22645a22a80dbadb259/,
URL,http://76.12.8.117/CFIDE/images/skins/Office-outlook/,
URL,http://barclays.co.uk.personalbanking.p1242557947640.p1242557947640.p1242557947640.093030023030230230002300239.healthydaypharmacy.com/statement/ff4db2d175bb33bf05442be538429ac2/myBrky.html#http://www.barclays.co.uk/cs/Satellite?c=Info_C&amp;pagename=BarclaysOnline/BOPopUp&amp;cid=1242617571817,
