Indicator type,Indicator,Description
URL,http://truemityunituistep.top/search.php,
URL,http://dartguy.com/download6894/,
URL,http://forttempreendimentos.com.br/download0663/,
URL,http://intecsoftware.com/download1577/,
URL,http://poradnia-alergologiczna.pl/0bcs53,
URL,http://schneckmann.de/0bcs53,
URL,http://www.stammtisch-rot-schwarz.at/0bcs53,
URL,http://mobile-nokia.info/wp-fmg/shit.exe,
URL,http://108.59.83.152/malware/cerber.exe,
URL,http://108.59.83.152/malware/L9MQg05p.exe,
URL,http://108.59.83.152/malware/JeqJJPfg.exe,
URL,http://108.59.83.152/malware/LaAET1TP.exe,
URL,http://love-story.od.ua/wp-content/languages/plugins/5.exe,
URL,http://love-story.od.ua/wp-content/languages/plugins/1.exe,
URL,http://weightreview.press/wp-content/plugins/RSSPoster_PRO/cache/5.exe,
URL,http://humanbeings.site/cache/5.exe,
URL,http://humanbeings.site/cache/1.exe,
URL,http://humanbeings.site/cache/zertifikat.exe,
URL,http://www.lollibeads.com/2.exe,
URL,http://www.lollibeads.com/1.exe,
URL,http://fenster-kontor.de/1.exe,
URL,http://coloradomma.org/components/com_phocagallery/views/map/counter/exe3.exe,
URL,http://coloradomma.org/components/com_phocagallery/views/map/counter/exe2.exe,
URL,http://coloradomma.org/components/com_phocagallery/views/map/counter/exe1.exe,
URL,http://ddl2.data.hu/get/214711/10431972/ok.gif,
URL,http://rdb.com.kh/counter/?2,
URL,http://rdb.com.kh/counter/?1,
URL,http://valid.ro/administrator/components/com_weblinks/tables/counter/exe1.exe,
URL,http://valid.ro/administrator/components/com_weblinks/tables/counter/exe2.exe,
URL,http://valid.ro/administrator/components/com_weblinks/tables/counter/exe3.exe,
URL,http://piandaccoliwine.com/images/vitigni/colorino/counter/exe1.exe,
URL,http://piandaccoliwine.com/images/vitigni/colorino/counter/exe2.exe,
URL,http://piandaccoliwine.com/images/vitigni/colorino/counter/exe3.exe,
URL,http://sunfloridjk.top/site/download.php,
URL,http://www.phutawanshop.com/phutawan/backoffice/backoffice/news/view/777_020318_5de21c670ae7c3f6f3f1f37029303MA2017.exe,
URL,http://audiocenterthai.com/temp/caches/qwerty.exe,
URL,http://metropolifashons.com/sir/new.exe,
URL,http://kmayxj4cez.ubisortdasert.top/search.php,
URL,http://otweeytl.bid/search.php,
URL,http://ponmaredimare.top/search.php,
